geonameid;asciiname;latitude;longitude;population;timezone
1129636;Qarchi Gak;37.03999;66.78891;8942;Asia/Kabul
1129648;Qarawul;37.21959;68.7802;24544;Asia/Kabul
1129678;Qarah Bagh;34.94023;61.77589;12412;Asia/Kabul
1129867;Qala i Naw;34.98735;63.12891;9000;Asia/Kabul
1130065;Qal`ah-ye Shahr;35.54729;65.5676;7756;Asia/Kabul
1130131;Qalat;32.10575;66.90833;12191;Asia/Kabul
1130469;Parun;35.42064;70.92261;1000;Asia/Kabul
1130490;Pul-e Khumri;35.94458;68.71512;56369;Asia/Kabul
1130497;Pul-e `Alam;33.99529;69.02274;13247;Asia/Kabul
1131162;Panjab;34.38795;67.02327;13471;Asia/Kabul
1131316;Paghman;34.58787;68.95091;49157;Asia/Kabul
1131462;Uruzgan;32.92775;66.63253;13388;Asia/Kabul
1131833;Nili;33.72178;66.13023;0;Asia/Kabul
1132495;Nahrin;36.0649;69.13343;22363;Asia/Kabul
1133270;Mir Bachah Kot;34.74999;69.11899;5405;Asia/Kabul
1133310;Mirabad;30.43624;61.8383;14160;Asia/Kabul
1133453;Maymana;35.92139;64.78361;75900;Asia/Kabul
1133574;Mehtar Lam;34.67139;70.20944;17345;Asia/Kabul
1133616;Mazar-e Sharif;36.70904;67.11087;303282;Asia/Kabul
1134720;Lashkar Gah;31.59382;64.37161;43934;Asia/Kabul
1134762;Larkird;35.48936;66.66409;11635;Asia/Kabul
1135158;Kushk;33.29565;61.95221;16952;Asia/Kabul
1135689;Kunduz;36.72895;68.857;161902;Asia/Kabul
1136469;Khost;33.33951;69.92041;96123;Asia/Kabul
1136575;Khulm;36.69736;67.69826;64933;Asia/Kabul
1136863;Khash;31.52919;62.79055;15133;Asia/Kabul
1137148;Khandud;36.95127;72.318;5521;Asia/Kabul
1137168;Khanabad;36.6825;69.11556;71531;Asia/Kabul
1137807;Karukh;34.48108;62.5863;17484;Asia/Kabul
1138336;Kandahar;31.61332;65.71013;391190;Asia/Kabul
1138958;Kabul;34.52813;69.17233;3043532;Asia/Kabul
1139085;Jurm;36.86477;70.83421;12106;Asia/Kabul
1139715;Jalalabad;34.42647;70.45153;200331;Asia/Kabul
1139807;Jabal os Saraj;35.11833;69.23778;15032;Asia/Kabul
1140026;Herat;34.34817;62.19967;272806;Asia/Kabul
1141089;Ghormach;35.73062;63.78264;30000;Asia/Kabul
1141269;Ghazni;33.55391;68.42096;141000;Asia/Kabul
1141540;Gereshk;31.82089;64.57005;43588;Asia/Kabul
1141857;Gardez;33.59744;69.22592;103601;Asia/Kabul
1142170;Fayzabad;37.11664;70.58002;44421;Asia/Kabul
1142239;Farkhar;36.57288;69.85783;10480;Asia/Kabul
1142264;Farah;32.37451;62.11638;43561;Asia/Kabul
1142404;Kafir Qala;34.66667;61.06667;18086;Asia/Kabul
1142545;Imam Sahib;37.18897;68.93644;9659;Asia/Kabul
1143838;Dasht-e Archi;37.13333;69.16667;8263;Asia/Kabul
1143874;Darzab;35.97744;65.37828;9642;Asia/Kabul
1143901;Markaz-e Hukumat-e Darweshan;31.13231;64.1934;9012;Asia/Kabul
1144942;Chiras;35.41674;65.98234;12779;Asia/Kabul
1145352;Charikar;35.01361;69.17139;53676;Asia/Kabul
1145866;Chahar Burj;34.24475;62.19165;11935;Asia/Kabul
1145904;Fayroz Koh;34.51952;65.25093;15000;Asia/Kabul
1146822;Basawul;34.24749;70.87218;6835;Asia/Kabul
1147066;Baraki Barak;33.96744;68.9492;22305;Asia/Kabul
1147242;Bamyan;34.82156;67.82734;61863;Asia/Kabul
1147290;Balkh;36.75635;66.8972;114883;Asia/Kabul
1147540;Baghlan;36.13068;68.70829;108449;Asia/Kabul
1147851;Hukumati Azrah;34.17355;69.64573;12526;Asia/Kabul
1148106;Art Khwajah;37.08571;69.47958;18623;Asia/Kabul
1148205;Asmar;35.03333;71.35809;15708;Asia/Kabul
1148268;Ashkasham;36.68333;71.53333;12120;Asia/Kabul
1148311;Asadabad;34.87311;71.14697;48400;Asia/Kabul
1148658;Andkhoy;36.95293;65.12376;29208;Asia/Kabul
1148709;Anar Darah;32.7587;61.65397;10023;Asia/Kabul
1149052;`Alaqahdari Dishu;30.43206;63.29802;9196;Asia/Kabul
1429434;Bazarak;35.31292;69.51519;65000;Asia/Kabul
1456960;Maydanshakhr;34.39561;68.86618;1600;Asia/Kabul
1469706;Markaz-e Woluswali-ye Achin;34.12583;70.70778;15098;Asia/Kabul
8534261;Sharan;33.17568;68.73045;2200;Asia/Kabul
3576022;Saint John's;17.11717;-61.84573;24226;America/Antigua
3576057;Piggotts;17.11667;-61.8;1878;America/Antigua
3576074;Parham;17.09682;-61.77046;969;America/Antigua
3576260;Falmouth;17.02741;-61.78136;619;America/Antigua
3576311;Codrington;17.63333;-61.83333;1325;America/Antigua
3576361;Bolands;17.06565;-61.87466;1657;America/Antigua
3573374;The Valley;18.21704;-63.05783;2035;America/Anguilla
363243;Sarande;39.87556;20.00528;15147;Europe/Tirane
781443;Tepelene;40.29583;20.01917;11955;Europe/Tirane
781979;Polican;40.61222;20.09806;10663;Europe/Tirane
782061;Peshkopi;41.685;20.42889;14848;Europe/Tirane
782070;Permet;40.23361;20.35167;10686;Europe/Tirane
782661;Kukes;42.07694;20.42194;17832;Europe/Tirane
782756;Korce;40.61861;20.78083;58259;Europe/Tirane
783059;Gramsh;40.86972;20.18444;11556;Europe/Tirane
783148;Gjirokaster;40.07583;20.13889;23437;Europe/Tirane
783259;Erseke;40.33778;20.67889;7890;Europe/Tirane
783263;Elbasan;41.1125;20.08222;100903;Europe/Tirane
783408;Corovode;40.50417;20.22722;14046;Europe/Tirane
783493;Burrel;41.61028;20.00889;15405;Europe/Tirane
783508;Bulqize;41.49167;20.22194;11212;Europe/Tirane
783606;Bilisht;40.6275;20.99;7114;Europe/Tirane
832209;Librazhd-Qender;41.19694;20.33556;12691;Europe/Tirane
3183719;Vlore;40.46667;19.48972;89546;Europe/Tirane
3183875;Tirana;41.3275;19.81889;374801;Europe/Tirane
3184081;Shkoder;42.06828;19.51258;88245;Europe/Tirane
3184099;Shijak;41.34556;19.56722;14138;Europe/Tirane
3184197;Selenice;40.53056;19.63583;6912;Europe/Tirane
3184252;Rrogozhine;41.07639;19.66528;5620;Europe/Tirane
3184264;Rreshen;41.7675;19.87556;10064;Europe/Tirane
3184290;Roskovec;40.7375;19.70222;6657;Europe/Tirane
3184388;Puke;42.04444;19.89972;6495;Europe/Tirane
3184497;Peqin;41.04611;19.75111;7513;Europe/Tirane
3184517;Patos Fshat;40.64278;19.65083;22679;Europe/Tirane
3184806;Mamurras;41.5775;19.69222;8282;Europe/Tirane
3184862;Lushnje;40.94194;19.705;41469;Europe/Tirane
3184935;Lezhe;41.78361;19.64361;18695;Europe/Tirane
3185012;Lac;41.63556;19.71306;24825;Europe/Tirane
3185060;Kucove;40.80028;19.91667;18166;Europe/Tirane
3185082;Kruje;41.50917;19.79278;21286;Europe/Tirane
3185211;Kavaje;41.18556;19.55694;29354;Europe/Tirane
3185270;Kamez;41.38167;19.76028;11026;Europe/Tirane
3185638;Fushe-Kruje;41.47833;19.71778;10458;Europe/Tirane
3185670;Fier-Cifci;40.71667;19.56667;60995;Europe/Tirane
3185672;Fier;40.72389;19.55611;56297;Europe/Tirane
3185728;Durres;41.32306;19.44139;122034;Europe/Tirane
3185897;Cerrik;41.03167;19.97583;14269;Europe/Tirane
3186084;Berat;40.70583;19.95222;46866;Europe/Tirane
3186145;Ballsh;40.59889;19.73472;10361;Europe/Tirane
174710;Yeghegnadzor;39.76389;45.33239;8200;Asia/Yerevan
174725;Vedi;39.91388;44.7251;12192;Asia/Yerevan
174726;Vayk';39.6889;45.46668;5419;Asia/Yerevan
174875;Qafan;39.20755;46.40576;33160;Asia/Yerevan
174895;Goris;39.51288;46.33816;20379;Asia/Yerevan
174972;Hats'avan;39.46405;45.97047;15208;Asia/Yerevan
174979;Artashat;39.96144;44.54447;20562;Asia/Yerevan
174991;Ararat;39.83069;44.70569;28832;Asia/Yerevan
616052;Yerevan;40.18111;44.51361;1093485;Asia/Yerevan
616062;Ejmiatsin;40.16557;44.29462;49513;Asia/Yerevan
616065;Yeghvard;40.32053;44.48139;10705;Asia/Yerevan
616108;Vardenis;40.18272;45.7311;11382;Asia/Yerevan
616109;Vardenik;40.13348;45.44311;7709;Asia/Yerevan
616178;Tashir;41.12072;44.28462;7318;Asia/Yerevan
616194;Step'anavan;41.00995;44.38531;23782;Asia/Yerevan
616199;Spitak;40.83221;44.26731;15059;Asia/Yerevan
616250;Sevan;40.5484;44.94868;17083;Asia/Yerevan
616255;Sarukhan;40.29169;45.13068;6173;Asia/Yerevan
616328;Hoktember;40.13206;44.00969;5348;Asia/Yerevan
616333;Noyemberyan;41.17244;44.99917;5119;Asia/Yerevan
616361;Noratus;40.37793;45.18048;5426;Asia/Yerevan
616375;Nerk'in Getashen;40.14172;45.27087;7010;Asia/Yerevan
616417;Metsamor;40.07233;44.29169;8789;Asia/Yerevan
616435;Masis;40.06542;44.41618;18911;Asia/Yerevan
616438;Martuni;40.13892;45.30548;11037;Asia/Yerevan
616530;Vanadzor;40.80456;44.4939;101098;Asia/Yerevan
616576;Karanlukh;40.10444;45.28972;5104;Asia/Yerevan
616599;Gavarr;40.35398;45.12386;21680;Asia/Yerevan
616627;Ijevan;40.87877;45.14851;14737;Asia/Yerevan
616629;Hrazdan;40.49748;44.7662;40795;Asia/Yerevan
616631;Armavir;40.15446;44.03815;25963;Asia/Yerevan
616635;Gyumri;40.7942;43.84528;148381;Asia/Yerevan
616697;Garrni;40.11931;44.73442;6827;Asia/Yerevan
616752;Dilijan;40.74103;44.86362;13478;Asia/Yerevan
616786;Chambarak;40.59655;45.35498;6153;Asia/Yerevan
616790;Byureghavan;40.31417;44.59333;6972;Asia/Yerevan
616802;Berd;40.88135;45.38901;8374;Asia/Yerevan
616877;Ashtarak;40.2991;44.36204;18779;Asia/Yerevan
616953;Aparan;40.59323;44.3589;5670;Asia/Yerevan
616974;Alaverdi;41.09766;44.67316;13184;Asia/Yerevan
616989;Akhuryan;40.78003;43.90027;7672;Asia/Yerevan
617026;Abovyan;40.27368;44.63348;35673;Asia/Yerevan
145531;Saurimo;-9.66078;20.39155;40498;Africa/Luanda
145724;Lucapa;-8.41915;20.74466;20115;Africa/Luanda
876177;Luau;-10.70727;22.22466;18465;Africa/Luanda
876233;Leua;-11.65;20.45;5168;Africa/Luanda
2236568;Uige;-7.60874;15.06131;60008;Africa/Luanda
2236967;Soio;-6.1349;12.36894;67491;Africa/Luanda
2239001;Nzeto;-7.23116;12.8666;18352;Africa/Luanda
2239076;N'dalatando;-9.29782;14.91162;383100;Africa/Luanda
2239520;Mbanza Congo;-6.26703;14.2401;24220;Africa/Luanda
2239862;Malanje;-9.54015;16.34096;87046;Africa/Luanda
2240449;Luanda;-8.83682;13.23432;2776168;Africa/Luanda
2242001;Caxito;-8.57848;13.66425;28224;Africa/Luanda
2242885;Camabatela;-8.18812;15.37495;12837;Africa/Luanda
2243271;Cabinda;-5.55;12.2;66020;Africa/Luanda
3345497;Uacu Cungo;-11.35669;15.11719;10970;Africa/Luanda
3346015;Sumbe;-11.20605;13.84371;33277;Africa/Luanda
3346598;Quibala;-10.73366;14.97995;8915;Africa/Luanda
3346821;Ondjiva;-17.06667;15.73333;10169;Africa/Luanda
3347019;Namibe;-15.19611;12.15222;80149;Africa/Luanda
3347353;Menongue;-14.6585;17.69099;32203;Africa/Luanda
3347719;Luena;-11.78333;19.91667;21115;Africa/Luanda
3347762;Lubango;-14.91717;13.4925;102541;Africa/Luanda
3347853;Longonjo;-12.90667;15.25333;24346;Africa/Luanda
3347939;Lobito;-12.3644;13.53601;207932;Africa/Luanda
3348078;Cuito;-12.38333;16.93333;113624;Africa/Luanda
3348313;Huambo;-12.77611;15.73917;226145;Africa/Luanda
3349580;Chissamba;-12.16667;17.33333;7677;Africa/Luanda
3350246;Catumbela;-12.43002;13.54677;16977;Africa/Luanda
3350372;Catabola;-12.15;17.28333;18855;Africa/Luanda
3351014;Camacupa;-12.01667;17.48333;19150;Africa/Luanda
3351024;Caluquembe;-13.78333;14.68333;30300;Africa/Luanda
3351380;Caconda;-13.73333;15.06667;10549;Africa/Luanda
3351500;Caala;-12.8525;15.56056;21205;Africa/Luanda
3351663;Benguela;-12.57626;13.40547;151226;Africa/Luanda
9376229;Chela;-12.30261;15.43358;5811;Africa/Luanda
3427213;Zarate;-34.09814;-59.02858;88781;America/Argentina/Buenos_Aires
3427388;Villa Ocampo;-28.48752;-59.35515;19101;America/Argentina/Cordoba
3427399;Villa Maria Grande;-31.66565;-59.90182;7101;America/Argentina/Cordoba
3427408;Villa Lugano;-34.67907;-58.47263;114000;America/Argentina/Buenos_Aires
3427420;Villa Hernandarias;-31.23101;-59.985;5375;America/Argentina/Cordoba
3427428;Villaguay;-31.8653;-59.02689;32027;America/Argentina/Cordoba
3427431;Villa Gesell;-37.26394;-56.97304;23257;America/Argentina/Buenos_Aires
3427443;Villa Elisa;-32.1632;-58.40082;9334;America/Argentina/Cordoba
3427537;Veinticinco de Mayo;-27.37679;-54.74312;11928;America/Argentina/Cordoba
3427582;Urdinarrain;-32.68573;-58.89323;7992;America/Argentina/Cordoba
3427761;Tigre;-34.42603;-58.57962;31106;America/Argentina/Buenos_Aires
3427833;Tandil;-37.32167;-59.13316;104325;America/Argentina/Buenos_Aires
3428068;San Vicente;-26.61667;-54.13333;38247;America/Argentina/Cordoba
3428071;Santo Tome;-28.54939;-56.04077;22634;America/Argentina/Cordoba
3428079;Santo Pipo;-27.14132;-55.40867;5447;America/Argentina/Cordoba
3428182;Santa Rosa;-28.26318;-58.11891;8330;America/Argentina/Cordoba
3428287;Santa Lucia;-28.98746;-59.10287;14056;America/Argentina/Cordoba
3428359;Santa Elena;-30.94768;-59.78696;18410;America/Argentina/Cordoba
3428481;San Salvador;-31.62487;-58.50524;11626;America/Argentina/Cordoba
3428577;San Pedro;-26.62207;-54.10842;23736;America/Argentina/Cordoba
3428644;San Miguel;-27.99585;-57.58964;7396;America/Argentina/Cordoba
3428708;San Luis del Palmar;-27.5079;-58.55454;15347;America/Argentina/Cordoba
3428759;San Lorenzo;-28.13306;-58.76733;47626;America/Argentina/Cordoba
3428858;San Jose de Feliciano;-30.38452;-58.75167;11137;America/Argentina/Cordoba
3428928;San Jose;-27.76979;-55.7826;6452;America/Argentina/Cordoba
3428975;San Javier;-30.57781;-59.9317;15606;America/Argentina/Cordoba
3428992;San Isidro;-34.4721;-58.52708;45190;America/Argentina/Buenos_Aires
3429160;San Clemente del Tuyu;-36.35694;-56.72351;11174;America/Argentina/Buenos_Aires
3429403;Saladas;-28.25384;-58.62591;18349;America/Argentina/Cordoba
3429439;Rosario del Tala;-32.30286;-59.14545;13807;America/Argentina/Cordoba
3429576;Retiro;-34.58333;-58.38333;38635;America/Argentina/Buenos_Aires
3429577;Resistencia;-27.46056;-58.98389;387158;America/Argentina/Cordoba
3429594;Reconquista;-29.15;-59.65;90184;America/Argentina/Cordoba
3429652;Quilmes;-34.72904;-58.26374;518788;America/Argentina/Buenos_Aires
3429713;Puerto Vilelas;-27.51414;-58.93906;8455;America/Argentina/Cordoba
3429721;Puerto Tirol;-27.37218;-59.08206;9767;America/Argentina/Cordoba
3429732;Puerto Rico;-26.79598;-55.02402;17491;America/Argentina/Cordoba
3429738;Puerto Piray;-26.46779;-54.71476;8557;America/Argentina/Cordoba
3429764;Puerto Libertad;-25.91641;-54.62089;6143;America/Argentina/Cordoba
3429777;Puerto Iguazu;-25.59912;-54.57355;32038;America/Argentina/Cordoba
3429786;Puerto Esperanza;-26.01517;-54.67306;15579;America/Argentina/Cordoba
3429790;Puerto Eldorado;-26.40843;-54.69463;54189;America/Argentina/Cordoba
3429866;Presidencia de la Plaza;-27.00147;-59.84243;12231;America/Argentina/Cordoba
3429886;Posadas;-27.36708;-55.89608;323739;America/Argentina/Cordoba
3429902;Pontevedra;-34.74785;-58.70072;33515;America/Argentina/Buenos_Aires
3429949;Pirane;-25.73239;-59.10879;19124;America/Argentina/Cordoba
3430029;Perugorria;-29.34132;-58.61059;5685;America/Argentina/Cordoba
3430104;Paso de los Libres;-29.71251;-57.08771;43805;America/Argentina/Cordoba
3430105;Paso de la Patria;-27.31676;-58.57197;5818;America/Argentina/Cordoba
3430178;Panambi;-27.72369;-54.91515;5970;America/Argentina/Cordoba
3430180;Pampa del Indio;-26.06468;-59.91898;11588;America/Argentina/Cordoba
3430186;Palo Santo;-25.56332;-59.33781;5324;America/Argentina/Cordoba
3430340;Obera;-27.48706;-55.11994;56528;America/Argentina/Cordoba
3430402;Nuestra Senora del Rosario de Caa Cati;-27.75072;-57.62073;7573;America/Argentina/Cordoba
3430443;Necochea;-38.5545;-58.73961;80478;America/Argentina/Buenos_Aires
3430545;Moron;-34.6509;-58.61956;319934;America/Argentina/Buenos_Aires
3430598;Monte Caseros;-30.25359;-57.63626;24671;America/Argentina/Cordoba
3430601;Montecarlo;-26.5662;-54.757;22229;America/Argentina/Cordoba
3430648;Mocoreta;-30.61891;-57.96344;6088;America/Argentina/Cordoba
3430708;Mercedes;-34.65145;-59.43068;52949;America/Argentina/Buenos_Aires
3430709;Mercedes;-29.18416;-58.07519;30649;America/Argentina/Cordoba
3430760;Mburucuya;-28.04532;-58.22835;9012;America/Argentina/Cordoba
3430857;Margarita Belen;-27.2616;-58.97219;5547;America/Argentina/Cordoba
3430863;Mar del Plata;-38.00228;-57.55754;553935;America/Argentina/Buenos_Aires
3430940;Malabrigo;-29.34636;-59.96957;7026;America/Argentina/Cordoba
3430968;Macia;-32.1722;-59.39947;5806;America/Argentina/Cordoba
3430988;Lujan;-34.57028;-59.105;81749;America/Argentina/Buenos_Aires
3431606;Las Toscas;-28.3529;-59.25795;11811;America/Argentina/Cordoba
3431916;Larroque;-33.03595;-59.00125;6200;America/Argentina/Cordoba
3432043;La Plata;-34.92145;-57.95453;694167;America/Argentina/Buenos_Aires
3432079;La Paz;-30.74485;-59.64566;24716;America/Argentina/Cordoba
3432355;La Leonesa;-27.03786;-58.70347;10067;America/Argentina/Cordoba
3432760;La Cruz;-29.17443;-56.64326;8591;America/Argentina/Cordoba
3433349;Jardin America;-27.04346;-55.22698;24905;America/Argentina/Cordoba
3433363;Itati;-27.27043;-58.24458;7902;America/Argentina/Cordoba
3433513;Ibarreta;-25.21438;-59.85851;8687;America/Argentina/Cordoba
3433658;Gualeguaychu;-33.00937;-58.51722;78676;America/Argentina/Cordoba
3433663;Gualeguay;-33.14156;-59.30966;33120;America/Argentina/Cordoba
3433715;Goya;-29.14395;-59.2651;70245;America/Argentina/Cordoba
3433743;Gobernador Roca;-27.18636;-55.46433;6315;America/Argentina/Cordoba
3433753;Gobernador Ingeniero Valentin Virasoro;-28.05;-56.03333;28756;America/Argentina/Cordoba
3433803;General Jose de San Martin;-26.53743;-59.34158;31758;America/Argentina/Cordoba
3433836;Garupa;-27.48171;-55.82921;28814;America/Argentina/Cordoba
3433839;Garuhape;-26.81768;-54.95665;8259;America/Argentina/Cordoba
3433899;Formosa;-26.17753;-58.17814;221383;America/Argentina/Cordoba
3433901;Fontana;-27.41813;-59.02392;26745;America/Argentina/Cordoba
3433956;Federal;-30.95465;-58.78326;16333;America/Argentina/Cordoba
3433959;Federacion;-31.00621;-57.89962;13789;America/Argentina/Cordoba
3434095;Esquina;-30.01444;-59.52719;26399;America/Argentina/Cordoba
3434291;El Soberbio;-27.29847;-54.19877;19571;America/Argentina/Cordoba
3434731;El Colorado;-26.30808;-59.37291;12780;America/Argentina/Cordoba
3434932;El Alcazar;-26.71459;-54.81523;5127;America/Argentina/Cordoba
3434995;Dos de Mayo;-27.02277;-54.68669;14544;America/Argentina/Cordoba
3435038;Dolores;-36.31321;-57.67918;25190;America/Argentina/Buenos_Aires
3435103;Curuzu Cuatia;-29.79171;-58.0546;36390;America/Argentina/Cordoba
3435217;Corrientes;-27.4806;-58.8341;339067;America/Argentina/Cordoba
3435261;Concordia;-31.39296;-58.02089;145210;America/Argentina/Cordoba
3435264;Concepcion del Uruguay;-32.48249;-58.23722;67895;America/Argentina/Cordoba
3435266;Concepcion de la Sierra;-27.98311;-55.52031;7398;America/Argentina/Cordoba
3435283;Comandante Fontana;-25.33453;-59.68212;5655;America/Argentina/Cordoba
3435290;Colonia Wanda;-25.97408;-54.42806;12779;America/Argentina/Cordoba
3435344;Colonia Aurora;-27.47428;-54.52498;8407;America/Argentina/Cordoba
3435356;Colegiales;-34.57365;-58.44924;57000;America/Argentina/Buenos_Aires
3435364;Clorinda;-25.28481;-57.71851;15000;America/Argentina/Cordoba
3435486;Chajari;-30.75048;-57.97962;30655;America/Argentina/Cordoba
3435532;Cerro Azul;-27.6331;-55.4962;5323;America/Argentina/Cordoba
3435701;Capiovi;-26.92998;-55.06084;5860;America/Argentina/Cordoba
3435734;Candelaria;-27.4595;-55.74536;11039;America/Argentina/Cordoba
3435750;Campo Viera;-27.38333;-55.03333;9228;America/Argentina/Cordoba
3435765;Campo Ramon;-27.46108;-55.01901;10088;America/Argentina/Cordoba
3435789;Campo Grande;-27.2077;-54.97977;12040;America/Argentina/Cordoba
3435810;Campana;-34.16874;-58.95914;81612;America/Argentina/Buenos_Aires
3435910;Buenos Aires;-34.61315;-58.37723;13076300;America/Argentina/Buenos_Aires
3435966;Bovril;-31.34311;-59.44512;7977;America/Argentina/Cordoba
3436030;Bernardo de Irigoyen;-26.2552;-53.64581;10889;America/Argentina/Cordoba
3436124;Barranqueras;-27.48132;-58.93925;50823;America/Argentina/Cordoba
3436199;Azul;-36.77698;-59.85854;53941;America/Argentina/Buenos_Aires
3436230;Avellaneda;-29.11761;-59.65834;23077;America/Argentina/Cordoba
3436287;Aristobulo del Valle;-27.09625;-54.89626;20683;America/Argentina/Cordoba
3436370;Alvear;-29.09683;-56.55043;7917;America/Argentina/Cordoba
3436448;Alba Posse;-27.56978;-54.68262;6652;America/Argentina/Cordoba
3832132;Zapala;-38.89916;-70.05442;31534;America/Argentina/Salta
3832189;Yuto;-23.64342;-64.47194;7732;America/Argentina/Jujuy
3832260;Yerba Buena;-26.81667;-65.31667;50783;America/Argentina/Tucuman
3832376;Yacimiento Rio Turbio;-51.57321;-72.3508;6650;America/Argentina/Rio_Gallegos
3832647;Villa Regina;-39.1;-67.06667;31209;America/Argentina/Salta
3832653;Villa Paula de Sarmiento;-31.4933;-68.53838;19092;America/Argentina/San_Juan
3832658;Villa Ojo de Agua;-29.50003;-63.69377;5832;America/Argentina/Cordoba
3832662;Villa Nueva;-32.43293;-63.24763;16841;America/Argentina/Cordoba
3832694;Villa Maria;-32.40751;-63.24016;92453;America/Argentina/Cordoba
3832711;Villa La Angostura;-40.76173;-71.64631;7526;America/Argentina/Salta
3832719;Villa Huidobro;-34.83826;-64.58686;5155;America/Argentina/Cordoba
3832734;Villa General Belgrano;-31.97542;-64.5559;5888;America/Argentina/Cordoba
3832756;Villa Dolores;-31.94585;-65.18958;28009;America/Argentina/Cordoba
3832759;Villa de Soto;-30.85523;-64.99947;7303;America/Argentina/Cordoba
3832763;Villa del Totoral;-30.81667;-63.71667;7110;America/Argentina/Cordoba
3832778;Villa Constitucion;-33.22778;-60.3297;44271;America/Argentina/Cordoba
3832783;Chanar Ladeado;-33.32524;-62.03831;5639;America/Argentina/Cordoba
3832791;Villa Carlos Paz;-31.42414;-64.49778;69451;America/Argentina/Cordoba
3832793;Villa Canas;-34.00565;-61.60757;9328;America/Argentina/Cordoba
3832797;Villa Berthet;-27.29174;-60.41263;12029;America/Argentina/Cordoba
3832811;Villa Angela;-27.57383;-60.71526;43511;America/Argentina/Cordoba
3832815;Villa Allende;-31.29458;-64.29538;21683;America/Argentina/Cordoba
3832899;Viedma;-40.81345;-62.99668;48940;America/Argentina/Salta
3832917;Vicuna Mackenna;-33.91965;-64.39215;8994;America/Argentina/Cordoba
3832923;Victorica;-36.21505;-65.43586;6565;America/Argentina/Salta
3832934;Victoria;-32.61841;-60.15478;25139;America/Argentina/Cordoba
3832959;Viale;-31.86782;-60.00722;8939;America/Argentina/Cordoba
3833027;Vera;-29.4593;-60.21261;19797;America/Argentina/Cordoba
3833062;Venado Tuerto;-33.74556;-61.96885;72340;America/Argentina/Cordoba
3833111;Veinticinco de Mayo;-37.7741;-67.71638;6962;America/Argentina/Salta
3833112;Veinticinco de Mayo;-35.4323;-60.17271;24668;America/Argentina/Buenos_Aires
3833211;Valle Hermoso;-31.11732;-64.48084;5486;America/Argentina/Cordoba
3833367;Ushuaia;-54.8;-68.3;58028;America/Argentina/Ushuaia
3833412;Unquillo;-31.23073;-64.31615;15369;America/Argentina/Cordoba
3833675;Trevelin;-43.0858;-71.46386;6395;America/Argentina/Catamarca
3833794;Tres Isletas;-26.34067;-60.43207;24747;America/Argentina/Cordoba
